Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0
Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0
Apartamento;Tomás Coelho;2;0;0;70;800.0;;
Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0
Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0
Apartamento;Olaria;2;0;0;90;1000.0;150.0;
Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0
Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0
Loja/Salão;Del Castilho;0;0;0;85;6500.0;;398.0
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0
Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0
Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;;
Conjunto Comercial/Sala;Centro;0;0;0;87;3000.0;764.0;134.0
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0
Conjunto Comercial/Sala;Centro;0;0;0;48;4500.0;885.0;380.0
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;80;5000.0;1100.0;3000.0
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0
Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0
Loft;Barra da Tijuca;1;1;1;78;2700.0;1370.0;188.0
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0
Apartamento;Anil;2;1;0;48;1100.0;400.0;
Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0
Casa de Condomínio;Vargem Grande;2;2;1;90;1700.0;618.0;338.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;72;2200.0;835.0;595.0
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0
Casa;Tanque;2;1;0;59;1200.0;170.0;
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;50;1600.0;870.0;406.0
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0
Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;
Apartamento;Madureira;2;0;0;40;600.0;415.0;
Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0
Casa;Bonsucesso;2;0;0;51;1000.0;;
Apartamento;Campo Grande;2;0;1;58;1000.0;;
Flat;Humaitá;1;1;0;55;2000.0;1232.0;176.0
Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0
Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0
